epoch,train_loss,seconds
1,0.42410480151946606,4.3502442836761475
2,0.21543509579932218,4.219247579574585
3,0.14443325696464937,4.169206380844116
4,0.16705804003110006,4.150632619857788
5,0.11682284848039923,4.171927452087402
6,0.12549867668711934,4.139815092086792
7,0.10166406670865216,4.177692651748657
8,0.09482846829029337,4.141979932785034
9,0.1079352394139769,4.135234594345093
10,0.09131762806748346,4.1439948081970215
11,0.0863450178403394,4.13977313041687
12,0.07899621317766195,4.149846076965332
13,0.07783635566125226,4.181506395339966
14,0.09698668988149345,4.214746952056885
15,0.07983414007710125,4.215296506881714
16,0.11611817872565146,4.238295555114746
17,0.09087195743747124,4.263106822967529
18,0.14650204805760886,4.262215852737427
19,0.09421224740598869,4.282324314117432
20,0.08698820642355634,4.29197096824646
