threshold,persistent_warning_detected,first_persistent_warning_time,warning_lead_minutes,false_warning_episodes,false_warning_episodes_per_day
0.5,1,2020-06-05 08:00:08,119.86666666666666,48,24.995178399228546
0.6,1,2020-06-05 08:00:08,119.86666666666666,41,21.350048216007714
0.7,1,2020-06-05 08:00:08,119.86666666666666,26,13.539054966248795
0.8,1,2020-06-05 08:00:18,119.7,17,8.852459016393443
0.9,1,2020-06-05 09:11:50,48.166666666666664,6,3.1243972999035683
0.95,1,2020-06-05 09:56:36,3.4,3,1.5621986499517841
