time_bin,observed_minutes,median_score,mean_score,p90_score,max_score,minutes_above_threshold,fraction_above_threshold,frozen_threshold
0-5,5,0.0009935260238244964,0.0011441098091863285,0.0015787508204274639,0.001910703255771682,0,0.0,0.6071059893996522
5-15,10,0.0011001858632440015,0.002207494299508878,0.0024185801244197454,0.012929296724233784,0,0.0,0.6071059893996522
15-30,15,0.0013049680711129676,0.006989755858088293,0.015211029496457534,0.015709987357285324,0,0.0,0.6071059893996522
30-60,30,0.001054290154161747,0.0011127803603839142,0.0015024438286772984,0.0015457729706201966,0,0.0,0.6071059893996522
60-90,30,0.0009578457694609462,0.0009321120182588977,0.001463420559133719,0.0017618192581000725,0,0.0,0.6071059893996522
90-120,30,0.00770723518621153,0.0207981229316873,0.046147458591121786,0.18249993646491028,0,0.0,0.6071059893996522
120-150,30,0.039501703673942574,0.20027931338053914,0.5868325841948535,0.7610955349109467,3,0.1,0.6071059893996522
150-180,23,0.6000747789565435,0.6821223551487372,0.8831882341845999,0.8942630452464225,11,0.4782608695652174,0.6071059893996522
