event,feature,mean_abs_shap,mean_signed_shap,mean_feature_value
F02,TP2_mean,0.10794887478364663,0.10430823821952215,8.153485446352454
F02,TP2_std,1.4643328840919464e-05,1.0779479316257552e-05,0.6896510157909047
F02,TP2_min,0.006295128541856976,0.0035469140632224854,6.785595907928389
F02,TP2_max,0.1484507901573728,0.14830762832903463,8.525191815856777
F02,TP2_last,0.0003546814237669053,0.0003392053679660561,8.13988746803069
F02,TP3_mean,0.23398871828690654,0.2333611458029198,8.40533479478748
F02,TP3_std,0.0,0.0,0.014335123801447778
F02,TP3_min,0.100037610075415,0.09989034191687964,8.386797953964194
F02,TP3_max,0.08535218420712828,0.08519629048090692,8.424342710997443
F02,TP3_last,0.011923127128864501,0.01182208681672342,8.406255754475703
F02,H1_mean,0.004488724850364028,0.00448861429660247,0.09605748386311157
F02,H1_std,1.8354366585924144,1.831447536866287,0.012074285353302041
F02,H1_min,0.0,0.0,0.09002046035805784
F02,H1_max,0.0,0.0,0.11950895140665033
F02,H1_last,0.0,0.0,0.11712531969309571
F02,DV_pressure_mean,11.575673994841807,11.568453910213341,1.9192902204360003
F02,DV_pressure_std,0.027389279811208943,0.022469887761429056,0.20754780455588612
F02,DV_pressure_min,0.9791451193119615,0.9752844332332604,1.5111304347826089
F02,DV_pressure_max,3.2030537789526092,3.200554638391784,2.0343989769820974
F02,DV_pressure_last,0.45724345500073066,0.457156636628256,1.917074168797954
F02,Reservoirs_mean,0.017741175408738645,0.017735531178683865,8.407422603824138
F02,Reservoirs_std,0.000150835421198726,6.929623529603441e-05,0.014219870077268743
F02,Reservoirs_min,0.023699614772829797,0.023666304106287474,8.389002557544758
F02,Reservoirs_max,0.038713467881570804,0.038553284480997485,8.426230179028133
F02,Reservoirs_last,0.06950925452904175,0.0691685109234895,8.408398976982097
F02,Oil_temperature_mean,0.08775554196473623,0.08774246515600896,75.85936548532456
F02,Oil_temperature_std,9.400033652444596e-05,4.7701134869958256e-05,0.10851222439318689
F02,Oil_temperature_min,0.31628821178943833,0.31621843420867873,75.73101023017902
F02,Oil_temperature_max,0.0,0.0,76.00831202046037
F02,Oil_temperature_last,0.009647865140173772,0.009642316731180711,75.86003836317136
F02,Motor_current_mean,0.0865992412685803,0.0865992412685803,5.561791803677993
F02,Motor_current_std,0.005495402275621768,-0.0007119414912559226,0.15972013508776542
F02,Motor_current_min,0.0008657897278524976,0.0008455153671311438,5.267001278772379
F02,Motor_current_max,0.24907019625676027,0.2487926153299073,5.702001278772379
