candidate,mean_pr_auc,minimum_event_pr_auc,maximum_event_pr_auc,mean_average_precision,mean_roc_auc,mean_ap_lift
Isolation Forest Current,0.3541713582596786,0.03892193035396501,0.6694207861653922,0.35440326570025227,0.9036603112462971,3.151562148008802
LGBM_IF_80_20,0.5258437172745388,0.07973906570001961,0.9719483688490581,0.526135271714647,0.9697442410470842,5.7733295013795605
LGBM_XGB_50_50,0.7807866753344083,0.5724255234977389,0.9891478271710776,0.5755546329590211,0.9839105135450237,10.005632463135164
LGBM_XGB_IF_40_40_20,0.5273797042359312,0.07893119512080007,0.9758282133510623,0.527661979377339,0.9698342661502118,5.737268766501604
LightGBM Current,0.7792100306267341,0.572503946216476,0.9859161150369922,0.5739729747370428,0.9834801197437503,10.002173632714921
MAX_LGBM_IF,0.772041424203074,0.5724492366895917,0.9716336117165563,0.567065071803201,0.9811098237448451,9.976243742964508
Random Forest Current,0.7907256201634436,0.6055520197735886,0.9758992205532985,0.5982160238963169,0.9809686029257111,13.35271083559771
XGBoost Current,0.7810201601059099,0.5724046928179308,0.9896356273938891,0.5757706873263864,0.9839941266531179,10.005355639587364
