requested_offset_minutes,timestamp,actual_offset_minutes,score,feature,feature_value,shap_value
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,DV_pressure_min,-0.009999999999998,1.0422476857112661
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,Motor_current_x_COMP1,0.0,1.029722230498748
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,Oil_temperature_min,83.4,0.7862266589475231
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,H1_std,0.0008164965809287466,0.40019131040687045
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,DV_pressure_max,-0.0079999999999991,-0.7421045075911401
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,DV_pressure_mean,-0.0086666666666654,-0.07941384289495372
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,Oil_temperature_mean,83.68333333333332,0.13309997630418943
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,DV_pressure_last,-0.009999999999998,0.3165532199837031
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,TP3_minus_Reservoirs_mean,0.0016666666666669272,-0.23836772009394355
5,2020-07-15 14:35:00,5.0,0.0007566147421960245,Oil_temperature_max,83.975,0.17639531001385983
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,DV_pressure_min,-0.009999999999998,1.18971547051169
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,Motor_current_x_COMP1,0.0,1.0403064372845876
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,Oil_temperature_min,87.35,0.8536223159137988
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,H1_std,0.0008164965809287468,0.4036499611397747
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,DV_pressure_max,-0.0079999999999991,-0.7330801126432127
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,DV_pressure_mean,-0.0086666666666654,-0.07728273468348272
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,Oil_temperature_mean,87.45833333333333,0.1539622479916143
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,DV_pressure_last,-0.009999999999998,0.3178961599672022
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,TP3_minus_Reservoirs_mean,0.0033333333333338544,-0.2943390992718771
30,2020-07-15 15:00:00,30.0,0.0010537986104334352,Oil_temperature_max,87.57499999999999,0.17128956273811313
60,2020-07-15 15:30:00,60.0,0.001006061633893645,DV_pressure_min,-0.0079999999999991,0.942732412669866
60,2020-07-15 15:30:00,60.0,0.001006061633893645,Motor_current_x_COMP1,0.0,1.066773519832407
60,2020-07-15 15:30:00,60.0,0.001006061633893645,Oil_temperature_min,87.45000000000002,0.8484034584784306
