model,mean_pr_auc,minimum_event_pr_auc,maximum_event_pr_auc,mean_average_precision,mean_roc_auc,mean_ap_lift
Isolation Forest Temporal,0.42319073010256286,0.03275928363976954,0.8136221765653562,0.42336087291201596,0.9174466919078299,3.077155745559611
LightGBM Current,0.920766465016503,0.8555925717268631,0.985940358306143,0.8828299191680808,0.9937974952183055,41.71513406054566
LightGBM Temporal,0.7832563014852737,0.577577624336901,0.9889349786336464,0.7142091488225877,0.990189471270156,24.238757377318212
Static Normal-Range,0.4558272882177141,0.04791683517934736,0.8637377412560809,0.43675419565512374,0.910884878576941,4.817064731485788
