event,rows_explained,mean_fault_score,median_fault_score,max_fault_score
F02,391,0.9820711120755211,0.9999709551546517,0.9999709551546517
F03,2624,0.1942286103914791,0.0021874301268801992,0.9493187087455972
F04,269,0.31205752006498716,0.035372188045530786,0.9626087927918606
