threshold_quantile,persistence_label,strict_new_early_dev_F01_F03,strict_new_early_all,false_alert_episodes_per_day_all,policy_time_in_alert_pct_all,false_alert_episodes_per_day_dev,policy_time_in_alert_pct_dev
0.9995,3-of-4,3,4,1.051743647772863,34.84447061132372,1.0522880454061725,29.700016758840285
0.999,4-of-4,3,4,1.059150293179714,35.553429496614655,1.0625044341965235,32.43170772582537
0.9995,4-of-4,3,4,1.0665569385865652,34.33421646550878,1.0625044341965235,31.137925255572313
0.999,3-of-4,3,4,1.0961835202139698,35.114316553822,1.1135863781482795,29.96480643539467
0.995,3-of-4,3,4,1.0961835202139698,38.71553331370817,1.1544519333096843,32.582537288419644
0.995,4-of-4,3,4,1.103590165620821,37.057207339809636,1.1544519333096843,31.788168258756492
