split,validation_event,model,sequence_minutes,channels,parameters,pr_auc,average_precision,roc_auc,positive_prevalence,ap_lift_over_prevalence
fault_F02,F02,GRU-30m,30,18,5537,0.08865156476219611,0.08887368056804043,0.9509075035356717,0.009737995616656704,9.126485990199384
fault_F03,F03,GRU-30m,30,18,5537,0.9528639250643071,0.9530597674334552,0.9947553258699675,0.2926938092582264,3.2561664691466947
