split,validation_event,model,threshold_quantile,threshold_value,event_detected,detection_delay_minutes,false_alarm_episodes,negative_days,false_alarm_episodes_per_day
fault_F02,F02,TinyCNN-30m,0.99,9.616342140361667e-05,1,1.0,9,27.611805555555556,0.32594753653077135
fault_F02,F02,TinyCNN-30m,0.995,0.7179767489433289,1,1.0,7,27.611805555555556,0.25351475063504436
fault_F02,F02,TinyCNN-30m,0.999,0.7509682178497314,1,1.0,65,27.611805555555556,2.3540655416111265
fault_F02,F02,TinyCNN-30m,0.9995,0.7583057880401611,1,1.0,26,27.611805555555556,0.9416262166444506
fault_F03,F03,TinyCNN-30m,0.99,0.0008710739784874022,1,1.0,3,4.403472222222222,0.6812805551174894
fault_F03,F03,TinyCNN-30m,0.995,0.003696906380355358,1,1.0,1,4.403472222222222,0.22709351837249647
fault_F03,F03,TinyCNN-30m,0.999,0.7068446278572083,1,5.0,1,4.403472222222222,0.22709351837249647
fault_F03,F03,TinyCNN-30m,0.9995,0.7108535170555115,1,5.0,1,4.403472222222222,0.22709351837249647
