split,epoch,loss
fault_F02,1,0.5053281111442579
fault_F02,2,0.024060609703133666
fault_F02,3,0.009054513180386182
fault_F02,4,0.006355445510405657
fault_F02,5,0.005358591968260217
fault_F02,6,0.0038889977989425566
fault_F02,7,0.005220620912247666
fault_F02,8,0.0032526094979830737
fault_F02,9,0.004928519438576136
fault_F02,10,0.003962178605316852
fault_F02,11,0.0034375439071909404
fault_F02,12,0.003694517594783283
fault_F02,13,0.003147748536970114
fault_F02,14,0.002558052970909655
fault_F02,15,0.08685492569947187
fault_F03,1,0.45244832634549453
fault_F03,2,0.1385127811476699
fault_F03,3,0.061520398600446696
fault_F03,4,0.024590306400149895
fault_F03,5,0.019082007455188607
fault_F03,6,0.023098154374360122
fault_F03,7,0.02659988804614683
fault_F03,8,0.07360924759217644
fault_F03,9,0.23721789731496506
fault_F03,10,0.03885848441403316
fault_F03,11,0.025456465880788374
fault_F03,12,0.019622771544370587
fault_F03,13,0.016545907190298116
fault_F03,14,0.014785126771064958
fault_F03,15,0.00898334112775594
