split,epoch,loss
fault_F02,1,0.1922941975562513
fault_F02,2,0.024672517956495256
fault_F02,3,0.01410572547469071
fault_F02,4,0.012968231636912615
fault_F02,5,0.016215829983238197
fault_F02,6,0.012517468579312043
fault_F02,7,0.01173369655661353
fault_F02,8,0.012502508536500383
fault_F02,9,0.03757587524581912
fault_F02,10,0.014813797348800301
fault_F02,11,0.012787300004562307
fault_F02,12,0.012311852828007777
fault_F02,13,0.011929135392744058
fault_F02,14,0.012172549831047647
fault_F02,15,0.011755266634385872
fault_F03,1,0.17237587337120042
fault_F03,2,0.020808240987664987
fault_F03,3,0.014525981112607644
fault_F03,4,0.010786911817281607
fault_F03,5,0.009408082214744144
fault_F03,6,0.014088394704813953
fault_F03,7,0.011585858932843616
fault_F03,8,0.016977624824031357
fault_F03,9,0.01565690704741619
fault_F03,10,0.01523508589121808
fault_F03,11,0.009601903398873315
fault_F03,12,0.009599423642103361
fault_F03,13,0.008342516564561898
fault_F03,14,0.008233440194346135
fault_F03,15,0.012848573943033185
