split,validation_event,model,threshold_quantile,threshold_value,event_detected,detection_delay_minutes,false_alarm_episodes,negative_days,false_alarm_episodes_per_day
fault_F02,F02,GRU-30m,0.99,0.9111795425415039,1,1.0,32,27.611805555555556,1.1589245743316314
fault_F02,F02,GRU-30m,0.995,0.9233817458152771,1,1.0,32,27.611805555555556,1.1589245743316314
fault_F02,F02,GRU-30m,0.999,0.9338281750679016,1,1.0,31,27.611805555555556,1.122708181383768
fault_F02,F02,GRU-30m,0.9995,0.9372546672821045,1,1.0,31,27.611805555555556,1.122708181383768
fault_F03,F03,GRU-30m,0.99,0.19573453068733215,1,4.0,1,4.403472222222222,0.22709351837249647
fault_F03,F03,GRU-30m,0.995,0.20777888596057892,1,5.0,1,4.403472222222222,0.22709351837249647
fault_F03,F03,GRU-30m,0.999,0.2849216163158417,1,8.0,2,4.403472222222222,0.45418703674499294
fault_F03,F03,GRU-30m,0.9995,0.8885412216186523,1,11.0,1,4.403472222222222,0.22709351837249647
