split,validation_event,horizon_minutes,model,feature_count,decision_threshold,precision,recall,f1,average_precision,pr_auc,roc_auc,event_detected,warning_minutes,first_alert_timestamp,earliest_alert_360m_timestamp,earliest_warning_360m,false_alarm_episodes,observed_negative_days,false_alarm_episodes_per_day
fold_F02,F02,15,Static Normal-Range,7,0.14285714285714285,0.0033609679587721262,1.0,0.006699419383653417,0.00315751773451591,0.0017230590115580994,0.9053227699530517,1,13.0,2020-05-29 23:17:00,2020-05-29 21:37:00,113.0,216,27.61111111111111,7.822937625754527
fold_F02,F02,15,Logistic Current,71,0.5,0.0,0.0,0.0,0.0003653268386313095,0.00033734188106228856,0.4938900067069082,0,,,,,0,27.61111111111111,0.0
fold_F02,F02,15,Logistic Temporal,264,0.5,0.0,0.0,0.0,0.0002110581857948658,0.00019677912689247923,0.07399564050972501,0,,,,,5,27.61111111111111,0.18108651911468812
fold_F02,F02,30,Static Normal-Range,7,0.14285714285714285,0.0033609679587721262,0.5,0.006677053193857111,0.0019557380077455146,0.0018902610657158612,0.6746935781354796,1,13.0,2020-05-29 23:17:00,2020-05-29 21:37:00,113.0,216,27.61111111111111,7.822937625754527
fold_F02,F02,30,Logistic Current,71,0.5,0.0,0.0,0.0,0.0024903837477068605,0.0022667466555618253,0.7548558014755198,0,,,,,24,27.61111111111111,0.869215291750503
fold_F02,F02,30,Logistic Temporal,264,0.5,0.0,0.0,0.0,0.0011914117166189847,0.001146188987162217,0.6875326961770624,0,,,,,21,27.61111111111111,0.7605633802816901
fold_F02,F02,60,Static Normal-Range,7,0.14285714285714285,0.0035842293906810036,0.26666666666666666,0.007073386383731211,0.0020061832999430066,0.002355960917587315,0.567034708249497,1,13.0,2020-05-29 23:17:00,2020-05-29 21:37:00,113.0,216,27.61111111111111,7.822937625754527
fold_F02,F02,60,Logistic Current,71,0.5,0.0,0.0,0.0,0.00236887650542111,0.002245075311963662,0.6210772971160295,0,,,,,17,27.61111111111111,0.6156941649899397
fold_F02,F02,60,Logistic Temporal,264,0.5,0.0,0.0,0.0,0.0011915503559024893,0.001166349443947382,0.42243921864520456,0,,,,,10,27.61111111111111,0.36217303822937624
fold_F02,F02,120,Static Normal-Range,7,0.14285714285714285,0.005144263028405279,0.19166666666666668,0.01001960357220649,0.003242100917213341,0.0038410262234626793,0.5338640174379611,1,113.0,2020-05-29 21:37:00,2020-05-29 21:37:00,113.0,216,27.61111111111111,7.822937625754527
fold_F02,F02,120,Logistic Current,71,0.5,0.0,0.0,0.0,0.003038736012137899,0.0029975863170141636,0.5333073440643863,0,,,,,0,27.61111111111111,0.0
fold_F02,F02,120,Logistic Temporal,264,0.5,0.0,0.0,0.0,0.0020737983357008356,0.002054022584404152,0.3276089872568746,0,,,,,31,27.61111111111111,1.1227364185110664
fold_F03,F03,15,Static Normal-Range,7,0.14285714285714285,0.022284122562674095,0.5333333333333333,0.0427807486631016,0.012986360252676118,0.011692808724295348,0.7340220820189274,1,6.0,2020-06-05 09:54:00,2020-06-05 09:54:00,6.0,9,4.402777777777778,2.0441640378548898
fold_F03,F03,15,Logistic Current,71,0.5,0.15555555555555556,0.4666666666666667,0.23333333333333334,0.07961247658724951,0.06644995264916803,0.7175078864353313,1,5.0,2020-06-05 09:55:00,2020-06-05 09:55:00,5.0,3,4.402777777777778,0.6813880126182965
fold_F03,F03,15,Logistic Temporal,264,0.5,1.0,0.13333333333333333,0.23529411764705882,0.3192057831318194,0.310040665875,0.7770767613038906,0,,,,,0,4.402777777777778,0.0
fold_F03,F03,30,Static Normal-Range,7,0.14285714285714285,0.025,0.3,0.046153846153846156,0.010796703296703295,0.014148351648351648,0.6195268138801261,1,6.0,2020-06-05 09:54:00,2020-06-05 09:54:00,6.0,9,4.402777777777778,2.0441640378548898
fold_F03,F03,30,Logistic Current,71,0.5,0.005357142857142857,0.4,0.010572687224669603,0.18502423968931905,0.17679202308341446,0.5717034700315458,1,14.0,2020-06-05 09:46:00,2020-06-05 04:02:00,358.0,314,4.402777777777778,71.3186119873817
fold_F03,F03,30,Logistic Temporal,264,0.5,0.14285714285714285,0.03333333333333333,0.05405405405405406,0.018337812496324976,0.014126730291895493,0.4861934805467928,0,,,,,0,4.402777777777778,0.0
fold_F03,F03,60,Static Normal-Range,7,0.14285714285714285,0.03038674033149171,0.18333333333333332,0.052132701421800945,0.012860762744324248,0.01953858045289939,0.562736593059937,1,6.0,2020-06-05 09:54:00,2020-06-05 09:54:00,6.0,9,4.402777777777778,2.0441640378548898
fold_F03,F03,60,Logistic Current,71,0.5,0.006815365551425031,0.36666666666666664,0.01338199513381995,0.028783737544606555,0.027773624025021634,0.426984752891693,1,58.0,2020-06-05 09:02:00,2020-06-05 04:02:00,358.0,426,4.402777777777778,96.7570977917981
fold_F03,F03,60,Logistic Temporal,264,0.5,0.00648508430609598,0.08333333333333333,0.012033694344163659,0.006717423455178413,0.006521321099222676,0.33456887486855935,1,5.0,2020-06-05 09:55:00,2020-06-05 09:55:00,5.0,65,4.402777777777778,14.763406940063092
fold_F03,F03,120,Static Normal-Range,7,0.14285714285714285,0.03571428571428571,0.10833333333333334,0.05371900826446281,0.020204924074893115,0.02644524915229249,0.5257058359621452,1,6.0,2020-06-05 09:54:00,2020-06-05 09:54:00,6.0,9,4.402777777777778,2.0441640378548898
fold_F03,F03,120,Logistic Current,71,0.5,0.01753048780487805,0.575,0.034023668639053255,0.019946514506002155,0.018592207046874802,0.4675065720294427,1,120.0,2020-06-05 08:00:00,2020-06-05 04:02:00,358.0,468,4.402777777777778,106.29652996845427
fold_F03,F03,120,Logistic Temporal,264,0.5,0.002770083102493075,0.03333333333333333,0.005115089514066497,0.012934032505649205,0.01280222437083641,0.3410646687697161,0,,,,,71,4.402777777777778,16.126182965299684
