split,validation_event,horizon_minutes,model,threshold_quantile,threshold_value,event_detected,warning_minutes,first_alert_timestamp,false_alarm_episodes,negative_days,false_alarm_episodes_per_day,earliest_warning_360m
fold_F02,F02,120,Random Forest Temporal,0.995,0.0,1,120.0,2020-05-29 21:30:00,34,27.61111111111111,1.2313883299798793,360.0
fold_F02,F02,120,Random Forest Temporal,0.999,0.03647557371580744,0,,,4,27.61111111111111,0.1448692152917505,
fold_F02,F02,120,Random Forest Temporal,0.9995,0.2595531074262601,0,,,5,27.61111111111111,0.18108651911468812,
fold_F02,F02,120,LightGBM Current,0.99,0.00022516585339849108,0,,,3,27.61111111111111,0.10865191146881288,
fold_F02,F02,120,LightGBM Current,0.995,0.9927223660104748,0,,,0,27.61111111111111,0.0,
fold_F02,F02,120,LightGBM Current,0.999,0.9938646301903993,0,,,0,27.61111111111111,0.0,
fold_F02,F02,120,LightGBM Current,0.9995,0.994569145694862,0,,,0,27.61111111111111,0.0,
fold_F02,F02,120,LightGBM Temporal,0.99,2.32045544030719e-05,1,120.0,2020-05-29 21:30:00,36,27.61111111111111,1.3038229376257546,360.0
fold_F02,F02,120,LightGBM Temporal,0.995,0.0005335967136933964,0,,,48,27.61111111111111,1.738430583501006,
fold_F02,F02,120,LightGBM Temporal,0.999,0.00762279052667059,0,,,21,27.61111111111111,0.7605633802816901,
fold_F02,F02,120,LightGBM Temporal,0.9995,0.023681805460953918,0,,,15,27.61111111111111,0.5432595573440644,
fold_F02,F02,120,Isolation Forest Temporal,0.99,0.068743698422126,1,8.0,2020-05-29 23:22:00,22,27.61111111111111,0.7967806841046278,8.0
fold_F02,F02,120,Isolation Forest Temporal,0.995,0.0981702074224651,1,5.0,2020-05-29 23:25:00,78,27.61111111111111,2.8249496981891347,5.0
fold_F02,F02,120,Isolation Forest Temporal,0.999,0.15383739578751301,0,,,15,27.61111111111111,0.5432595573440644,
fold_F02,F02,120,Isolation Forest Temporal,0.9995,0.18680246077466753,0,,,1,27.61111111111111,0.03621730382293763,
fold_F03,F03,15,Random Forest Temporal,0.99,0.0033296652920300302,1,7.0,2020-06-05 09:53:00,15,4.402777777777778,3.406940063091483,7.0
fold_F03,F03,15,Random Forest Temporal,0.995,0.009989265525537349,1,6.0,2020-06-05 09:54:00,0,4.402777777777778,0.0,6.0
fold_F03,F03,15,Random Forest Temporal,0.999,0.21306491673868566,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,Random Forest Temporal,0.9995,0.3569539042501358,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,LightGBM Current,0.99,0.000687682838604666,1,7.0,2020-06-05 09:53:00,0,4.402777777777778,0.0,7.0
fold_F03,F03,15,LightGBM Current,0.995,0.008017460729538935,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,LightGBM Current,0.999,0.9908959915241782,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,LightGBM Current,0.9995,0.9951393954958726,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,LightGBM Temporal,0.99,0.0001454111545622868,1,7.0,2020-06-05 09:53:00,11,4.402777777777778,2.498422712933754,7.0
fold_F03,F03,15,LightGBM Temporal,0.995,0.000315484065814692,1,7.0,2020-06-05 09:53:00,6,4.402777777777778,1.362776025236593,7.0
fold_F03,F03,15,LightGBM Temporal,0.999,0.005035776364676164,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,LightGBM Temporal,0.9995,0.010120587348947833,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,Isolation Forest Temporal,0.99,0.06554800561404253,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,15,Isolation Forest Temporal,0.995,0.08808565745971823,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,15,Isolation Forest Temporal,0.999,0.14539198641100584,0,,,0,4.402777777777778,0.0,
fold_F03,F03,15,Isolation Forest Temporal,0.9995,0.17094542325034578,0,,,0,4.402777777777778,0.0,
fold_F03,F03,30,Random Forest Temporal,0.99,0.00665768005052459,1,6.0,2020-06-05 09:54:00,28,4.402777777777778,6.359621451104101,6.0
fold_F03,F03,30,Random Forest Temporal,0.995,0.029940508847327026,0,,,4,4.402777777777778,0.9085173501577287,
fold_F03,F03,30,Random Forest Temporal,0.999,0.4291992241369922,0,,,0,4.402777777777778,0.0,
fold_F03,F03,30,Random Forest Temporal,0.9995,0.6288339470838947,0,,,0,4.402777777777778,0.0,
fold_F03,F03,30,LightGBM Current,0.99,0.007123195516590011,0,,,118,4.402777777777778,26.801261829652997,142.0
fold_F03,F03,30,LightGBM Current,0.995,0.07831533626088913,0,,,51,4.402777777777778,11.583596214511042,
fold_F03,F03,30,LightGBM Current,0.999,0.9916408539371542,0,,,0,4.402777777777778,0.0,
fold_F03,F03,30,LightGBM Current,0.9995,0.9916408539371542,0,,,0,4.402777777777778,0.0,
fold_F03,F03,30,LightGBM Temporal,0.99,0.0004959421743422833,1,7.0,2020-06-05 09:53:00,5,4.402777777777778,1.135646687697161,7.0
fold_F03,F03,30,LightGBM Temporal,0.995,0.001335608870674644,1,7.0,2020-06-05 09:53:00,3,4.402777777777778,0.6813880126182965,7.0
fold_F03,F03,30,LightGBM Temporal,0.999,0.009134508664077076,0,,,3,4.402777777777778,0.6813880126182965,
fold_F03,F03,30,LightGBM Temporal,0.9995,0.015478401773543263,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,30,Isolation Forest Temporal,0.99,0.06554800561404253,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,30,Isolation Forest Temporal,0.995,0.08808565745971823,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,30,Isolation Forest Temporal,0.999,0.14539198641100584,0,,,0,4.402777777777778,0.0,
fold_F03,F03,30,Isolation Forest Temporal,0.9995,0.17094542325034578,0,,,0,4.402777777777778,0.0,
fold_F03,F03,60,Random Forest Temporal,0.99,0.04305065329645981,1,1.0,2020-06-05 09:59:00,84,4.402777777777778,19.078864353312305,96.0
fold_F03,F03,60,Random Forest Temporal,0.995,0.08275654564158223,0,,,41,4.402777777777778,9.31230283911672,
fold_F03,F03,60,Random Forest Temporal,0.999,0.3981280286956476,0,,,0,4.402777777777778,0.0,
fold_F03,F03,60,Random Forest Temporal,0.9995,0.5342258630444342,0,,,0,4.402777777777778,0.0,
